Major,College,Type
Ethnic Studies,University of Hawaiʻi at Mānoa,"BA, UCert"
Ethnomathematics,University of Hawaiʻi at Mānoa,GCert
Expanded Function Dental Hygiene in Pediatrics,University of Hawaiʻi at Mānoa,UCert
Fashion Design & Merchandising,University of Hawaiʻi at Mānoa,BS
Fashion Technology,Honolulu Community College,"AAS, CA, CO"
Filipino Studies,University of Hawaiʻi at Hilo,UCert
Finance,University of Hawaiʻi at Mānoa,"MS, BBA"
Finance,University of Hawaiʻi at Hilo,UCert
Fire & Environmental Emergency Response,Honolulu Community College,"AAS, CA"
Fire Science,Hawaiʻi Community College,"AS, CA"
Fitness Trainer Preparation,University of Hawaiʻi at Hilo,SC
Food Science,University of Hawaiʻi at Mānoa,MS
Food Science & Human Nutrition,University of Hawaiʻi at Mānoa,BS
Foundations in Acting,Windward Community College,CA
French,University of Hawaiʻi at Mānoa,UCert
Gender Studies,University of Hawaiʻi–West Oʻahu,UCert
Gender and Women's Studies,University of Hawaiʻi at Hilo,BA
General Business,University of Hawaiʻi at Mānoa,BBA
Geography,University of Hawaiʻi at Hilo,BA
Geography and Environment,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Geology,University of Hawaiʻi at Hilo,"BS, BA"
Geospacial Information Science,University of Hawaiʻi at Mānoa,UCert
Geospatial Remote Sensing,Hawaiʻi Community College,CO
German,University of Hawaiʻi at Mānoa,UCert
Global Engagement,University of Hawaiʻi at Hilo,UCert
Global Environmental Science,University of Hawaiʻi at Mānoa,BS
Hawaii Performing Arts,University of Hawaiʻi at Hilo,UCert
Hawaiian & Indigenous Lang Medium Early Education,University of Hawaiʻi at Hilo,UCert
Hawaiian & Indigenous Language & Culture Revitalization,University of Hawaiʻi at Hilo,PhD
Hawaiian Botany,Kauaʻi Community College,CO
Hawaiian Culture,University of Hawaiʻi at Hilo,UCert
Hawaiian Language,University of Hawaiʻi–West Oʻahu,UCert
Hawaiian Language,University of Hawaiʻi at Mānoa,"MA, BA, UCert"
Hawaiian Language,University of Hawaiʻi at Hilo,UCert
Hawaiian Studies,University of Hawaiʻi at Mānoa,"MA, BA"
Hawaiian Studies,University of Hawaiʻi at Hilo,BA
Hawaiian Studies,Hawaiʻi Community College,AA
Hawaiian Studies,Honolulu Community College,AA
Hawaiian Studies,Kapiʻolani Community College,AA
Hawaiian Studies,Kauaʻi Community College,AA
Hawaiian Studies,Leeward Community College,AA
Hawaiian Studies,Maui College,AA
Hawaiian Studies,Windward Community College,AA
Hawaiian and Indigenous Health & Healing,University of Hawaiʻi–West Oʻahu,UCert
Hawaiian-Pacific Studies,University of Hawaiʻi–West Oʻahu,UCert
Health Care Administration,University of Hawaiʻi–West Oʻahu,UCert
Health Care Administration,University of Hawaiʻi at Hilo,UCert
Health Information Technology,Leeward Community College,"AS, CA, CO"
Health Sciences Research,University of Hawaiʻi at Hilo,GCert
Healthcare Leadership,University of Hawaiʻi at Hilo,GCert
Heritage Management,University of Hawaiʻi at Hilo,MA
Historic Preservation,University of Hawaiʻi at Mānoa,GCert
History,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
History,University of Hawaiʻi at Hilo,BA
Hospitality & Tourism,Hawaiʻi Community College,"AAS, CA, CO"
Hospitality & Tourism,Kapiʻolani Community College,"AS, CA, CO"
Hospitality & Tourism,Kauaʻi Community College,"AAS, CA, CO"
Hospitality & Tourism,Maui College,"AAS, CA, CO"
Hotel Operations Management,Kapiʻolani Community College,APC
Human Development and Family Studies,University of Hawaiʻi at Mānoa,BS
Human Development and Family Studies,Windward Community College,ASC
Human Resource Management,University of Hawaiʻi at Mānoa,"MHRM, BBA"
Human Services,Hawaiʻi Community College,CO
Human Services,Honolulu Community College,"AAS, CA, CO"
Human Services,Maui College,"AS, CA, CO"
Humanities,University of Hawaiʻi–West Oʻahu,BA
Indigenous Language & Culture Education,University of Hawaiʻi at Hilo,MA
Indigenous Language & Culture Revitalization,University of Hawaiʻi at Hilo,GCert
Indigenous Public Health,University of Hawaiʻi at Hilo,UCert
Indo-Pacific Languages,University of Hawaiʻi at Mānoa,UCert
Infant-Toddler Caregiver,Honolulu Community College,CO
Information & Computer Science,University of Hawaiʻi at Mānoa,BA
Information & Computer Science,Leeward Community College,"AS, CA, CO"
Information Security Specialist,Windward Community College,CO
Information Systems,University of Hawaiʻi at Mānoa,MS
Information Technology,Hawaiʻi Community College,"AS, CA, CO"
Information Technology,Kapiʻolani Community College,"APC, AS, CA, CO"
Interdisciplinary Studies,University of Hawaiʻi at Mānoa,BA
Interdisciplinary Studies,Hawaiʻi Community College,ATS
International Business,University of Hawaiʻi at Mānoa,BBA
International Politics,University of Hawaiʻi at Hilo,UCert
Islamic Studies,University of Hawaiʻi at Mānoa,UCert
Japanese,University of Hawaiʻi at Mānoa,"BA, UCert"
Japanese Language Teaching,University of Hawaiʻi at Hilo,UCert
Japanese Studies,University of Hawaiʻi at Mānoa,GCert
Japanese Studies,University of Hawaiʻi at Hilo,BA
Journalism,University of Hawaiʻi at Mānoa,BA
Kahuawaiola Indigenous Teacher Education,University of Hawaiʻi at Hilo,GCert
Kinesiology & Exercise Sciences,University of Hawaiʻi at Hilo,BA
Kinesiology & Rehabilitation Science,University of Hawaiʻi at Mānoa,"MS, BS"
Korean,University of Hawaiʻi at Mānoa,"BA, UCert"
Korean Studies,University of Hawaiʻi at Mānoa,GCert
